Genes	B	cancer	CD4	CD8	M0	M1	M2	Mono	Neu	NK
NCAPH	0.172151766242691	9.6843191724766	0.265713880912902	5.74994475945928	757.145545265118	271.774638972934	843.731505661834	0	0	2.85587694188246
NCF2	0.344303532485383	11.892584937656	1.3809484513122	0	41.2039308743779	57.7434906012034	33.0463025908301	39.7658964871311	236.666057943691	0
NCF4	55.8566827044711	9.33370566736436	2.12369724905589	6.57136543938203	44.5397280773685	37.0329084465123	27.3740197269143	96.258733342727	691.222704697432	0
NCKAP1	0	75.0204048938182	11.3386804839001	12.3213101988413	155.151478529046	79.3050972579773	60.4865359921444	0.940180395546428	0.223667660923335	18.4618360607513
NCR1	0.516455298728074	0.157686113051984	0	6.57136543938203	0	0.200941854661168	0	1.89984342123803	14.264417529635	375.050702357603
NCS1	0	11.7929444672472	0	0	19.4489636534746	76.7545466145844	44.3259265601999	0	0	0
NDFIP2	0	28.2818665181773	6.51265255350939	4.72159508072747	11.8953869894403	23.0908604517501	87.1891287106277	0	0	15.4340718130092
NDP	0	0.249222135753444	0	0	0.38087848047349	55.7515484892573	0.233481095736122	0	0	0
NDUFAF4	65.979287945176	33.2741224473119	111.093772042799	59.963709634361	141.309144956459	263.206136370496	116.486570606868	33.10433204001	0	75.7609670117441
NEBL	0	15.5942266797597	0.591314409937951	0	0	0	0	0.235533955870515	100.85838575883	0
NECAB2	0	0.40620127700978	0	0	0	0	0.16760657641276	0.633281140412678	31.1863325993288	0
NEDD4L	20.8093523800971	30.3966837532451	7.86898269036284	3.41982449460694	10.2658538777394	6.31098953900499	5.60606918951582	13.7893124680143	0	7.1194195424092
NEFH	0	0.41337955158163	0.980134562149449	2.46426203976826	11.1788115816185	16.9782821737207	10.383248861933	1.88036079109286	0	0.951958980627485
NEK3	17.3315539604601	10.5027553396983	17.5691139097016	17.2498342783778	25.2545898811145	11.5965010493613	16.9857881306803	31.3393465182143	0.0707471650549755	14.6540001382413
