Genes	cell_type
SSTR2	M1
SSTR3	CD4
SSTR5	cancer
ST14	M2
ST18	M0
ST3GAL5	Mono
ST3GAL6	M0
ST6GALNAC1	CD4
ST6GALNAC2	Neu
ST6GALNAC4	B
ST6GALNAC6	cancer
ST8SIA1	CD8
STAB1	Mono
STAP1	B
STARD8	M0
STEAP3	cancer
STEAP4	Neu
STK16	cancer
STOM	cancer
STRBP	B
STRIP2	M2
SUCLG2	CD4
SUCNR1	M0
SULF2	Neu
SULT1A1	Neu
SULT1A3	CD8
SULT1B1	Neu
SULT1C2	M0
SUN1	B
SUOX	cancer
SUSD4	CD4
SWAP70	B
SYCP2L	Mono
SYDE2	CD4
SYK	B
SYNE2	CD8
SYNJ2	cancer
SYNPO	cancer
SYS1	CD4
SYT17	B
SYTL2	CD8
TAF4B	CD4
TARBP2	CD4
TBC1D12	M0
TBC1D20	NK
TBC1D9	M1
TBX21	NK
TBX4	cancer
TC2N	CD4
TCEA3	cancer
